stock_id,stock_name,stock_industry,stock_type
1598,岱宇,運動休閒,TW
1603,華電,電器電纜,TW
1604,聲寶,電器電纜,TW
1605,華新,電器電纜,TW
1608,華榮,電器電纜,TW
1609,大亞,電器電纜,TW
1611,中電,電器電纜,TW
1612,宏泰,電器電纜,TW
1614,三洋電,電器電纜,TW
1615,大山,電器電纜,TW
1616,億泰,電器電纜,TW
1617,榮星,電器電纜,TW
1618,合機,電器電纜,TW
1626,艾美特-KY,電器電纜,TW
1702,南僑,食品工業,TW
1707,葡萄王,生技醫療業,TW
1708,東鹼,化學工業,TW
1709,和益,化學工業,TW
1710,東聯,化學工業,TW
1711,永光,化學工業,TW
1712,興農,化學工業,TW
1713,國化,化學工業,TW
1714,和桐,化學工業,TW
1717,長興,化學工業,TW
1718,中纖,化學工業,TW
1720,生達,生技醫療業,TW
1721,三晃,化學工業,TW
1722,台肥,化學工業,TW
1723,中碳,化學工業,TW
1725,元禎,化學工業,TW
1726,永記,化學工業,TW
1727,中華化,化學工業,TW
1730,花仙子,化學工業,TW
1731,美吾華,生技醫療業,TW
1732,毛寶,化學工業,TW
1733,五鼎,生技醫療業,TW
1734,杏輝,生技醫療業,TW
1735,日勝化,化學工業,TW
1736,喬山,運動休閒,TW
1737,臺鹽,食品工業,TW
1752,南光,生技醫療業,TW
1760,寶齡富錦,生技醫療業,TW
1762,中化生,生技醫療業,TW
1773,勝一,化學工業,TW
1776,展宇,化學工業,TW
1783,和康生,生技醫療業,TW
1786,科妍,生技醫療業,TW
1789,神隆,生技醫療業,TW
1795,美時,生技醫療業,TW
1802,台玻,玻璃陶瓷,TW
1805,寶徠,建材營造業,TW
1806,冠軍,玻璃陶瓷,TW
1808,潤隆,建材營造業,TW
1809,中釉,玻璃陶瓷,TW
1810,和成,玻璃陶瓷,TW
1817,凱撒衛,玻璃陶瓷,TW
1903,士紙,造紙工業,TW
1904,正隆,造紙工業,TW
1905,華紙,造紙工業,TW
1906,寶隆,造紙工業,TW
1907,永豐餘,造紙工業,TW
1909,榮成,造紙工業,TW
2002,中鋼,鋼鐵工業,TW
2006,東和鋼鐵,鋼鐵工業,TW
2007,燁興,鋼鐵工業,TW
2008,高興昌,鋼鐵工業,TW
2009,第一銅,鋼鐵工業,TW
2010,春源,鋼鐵工業,TW
2012,春雨,鋼鐵工業,TW
2013,中鋼構,鋼鐵工業,TW
2014,中鴻,鋼鐵工業,TW
2015,豐興,鋼鐵工業,TW
2017,官田鋼,鋼鐵工業,TW
2020,美亞,鋼鐵工業,TW
2022,聚亨,鋼鐵工業,TW
2023,燁輝,鋼鐵工業,TW
2024,志聯,鋼鐵工業,TW
2025,千興,鋼鐵工業,TW
2027,大成鋼,鋼鐵工業,TW
2028,威致,鋼鐵工業,TW
2029,盛餘,鋼鐵工業,TW
2030,彰源,鋼鐵工業,TW
2031,新光鋼,鋼鐵工業,TW
2032,新鋼,鋼鐵工業,TW
2033,佳大,鋼鐵工業,TW
2034,允強,鋼鐵工業,TW
2038,海光,鋼鐵工業,TW
2049,上銀,電機機械,TW
2059,川湖,電子零組件業,TW
2062,橋椿,居家生活,TW
2069,運錩,鋼鐵工業,TW
2101,南港,橡膠工業,TW
2102,泰豐,橡膠工業,TW
2103,台橡,橡膠工業,TW
2104,國際中橡,橡膠工業,TW
2105,正新,橡膠工業,TW
2106,建大,橡膠工業,TW
2107,厚生,橡膠工業,TW
2108,南帝,橡膠工業,TW
2109,華豐,橡膠工業,TW
2114,鑫永銓,橡膠工業,TW
2115,六暉-KY,汽車工業,TW
2201,裕隆,汽車工業,TW
2204,中華,汽車工業,TW
2206,三陽工業,汽車工業,TW
2207,和泰車,汽車工業,TW
2208,台船,航運業,TW
2211,長榮鋼,鋼鐵工業,TW
2227,裕日車,汽車工業,TW
2228,劍麟,汽車工業,TW
2231,為升,汽車工業,TW
2233,宇隆,汽車工業,TW
2236,百達-KY,汽車工業,TW
2239,英利-KY,汽車工業,TW
2241,艾姆勒,汽車工業,TW
2243,宏旭-KY,汽車工業,TW
2247,汎德永業,汽車工業,TW
2248,華勝-KY,汽車工業,TW
2250,IKKA-KY,汽車工業,TW
2301,光寶科,電腦及週邊設備業,TW
2302,麗正,半導體業,TW
2303,聯電,半導體業,TW
2305,全友,電腦及週邊設備業,TW
2308,台達電,電子零組件業,TW
2312,金寶,其他電子業,TW
2313,華通,電子零組件業,TW
2314,台揚,通信網路業,TW
2316,楠梓電,電子零組件業,TW
2317,鴻海,其他電子業,TW
2321,東訊,通信網路業,TW
2323,中環,光電業,TW
2324,仁寶,電腦及週邊設備業,TW
2327,國巨*,電子零組件業,TW
2328,廣宇,電子零組件業,TW
2329,華泰,半導體業,TW
2330,台積電,半導體業,TW
2331,精英,電腦及週邊設備業,TW
2332,友訊,通信網路業,TW
2337,旺宏,半導體業,TW
2338,光罩,半導體業,TW
2340,台亞,半導體業,TW
2342,茂矽,半導體業,TW
2344,華邦電,半導體業,TW
2345,智邦,通信網路業,TW
2347,聯強,電子通路業,TW
2348,海悅,其他業,TW
2349,錸德,光電業,TW
2351,順德,半導體業,TW
2352,佳世達,電腦及週邊設備業,TW
2353,宏��,電腦及週邊設備業,TW
2354,鴻準,其他電子業,TW
2355,敬鵬,電子零組件業,TW
2356,英業達,電腦及週邊設備業,TW
2357,華碩,電腦及週邊設備業,TW
2359,所羅門,其他電子業,TW
2360,致茂,其他電子業,TW
2362,藍天,電腦及週邊設備業,TW
2363,矽統,半導體業,TW
2364,倫飛,電腦及週邊設備業,TW
2365,昆盈,電腦及週邊設備業,TW
2367,燿華,電子零組件業,TW
2368,金像電,電子零組件業,TW
2369,菱生,半導體業,TW
2371,大同,電機機械,TW
2373,震旦行,其他電子業,TW
2374,佳能,光電業,TW
2375,凱美,電子零組件業,TW
2376,技嘉,電腦及週邊設備業,TW
2377,微星,電腦及週邊設備業,TW
2379,瑞昱,半導體業,TW
2380,虹光,電腦及週邊設備業,TW
2382,廣達,電腦及週邊設備業,TW
2383,台光電,電子零組件業,TW
2385,群光,電子零組件業,TW
2387,精元,電腦及週邊設備業,TW
2388,威盛,半導體業,TW
2390,云辰,其他電子業,TW
2392,正崴,電子零組件業,TW
2393,億光,光電業,TW
2395,研華,電腦及週邊設備業,TW
2397,友通,電腦及週邊設備業,TW
2399,映泰,電腦及週邊設備業,TW
2401,凌陽,半導體業,TW
2402,毅嘉,電子零組件業,TW
2404,漢唐,其他電子業,TW
2405,輔信,電腦及週邊設備業,TW
2406,國碩,光電業,TW
2408,南亞科,半導體業,TW
2409,友達,光電業,TW
2412,中華電,通信網路業,TW
2413,環科,電子零組件業,TW
2414,精技,電子通路業,TW
2415,錩新,電子零組件業,TW
2417,圓剛,電腦及週邊設備業,TW
2419,仲琦,通信網路業,TW
2420,新巨,電子零組件業,TW
2421,建準,電子零組件業,TW
2423,固緯,其他電子業,TW
2424,隴華,通信網路業,TW
2425,承啟,電腦及週邊設備業,TW
2426,鼎元,光電業,TW
2427,三商電,資訊服務業,TW
2428,興勤,電子零組件業,TW
2429,銘旺科,光電業,TW
2430,燦坤,電子通路業,TW
2431,聯昌,電子零組件業,TW
2433,互盛電,其他電子業,TW
2434,統懋,半導體業,TW
2436,偉詮電,半導體業,TW
2438,翔耀,光電業,TW
2439,美律,通信網路業,TW
2440,太空梭,電子零組件業,TW
2441,超豐,半導體業,TW
2442,新美齊,建材營造業,TW
2444,兆勁,通信網路業,TW
2449,京元電子,半導體業,TW
2450,神腦,通信網路業,TW
2451,創見,半導體業,TW
2453,凌群,資訊服務業,TW
2454,聯發科,半導體業,TW
2455,全新,通信網路業,TW
2457,飛宏,電子零組件業,TW
2458,義隆,半導體業,TW
2459,敦吉,其他電子業,TW
2460,建通,電子零組件業,TW
2461,光群雷,其他電子業,TW
2462,良得電,電子零組件業,TW
2464,盟立,其他電子業,TW
2465,麗臺,電腦及週邊設備業,TW
2466,冠西電,光電業,TW
2467,志聖,電子零組件業,TW
2468,華經,資訊服務業,TW
2471,資通,資訊服務業,TW
2472,立隆電,電子零組件業,TW
2474,可成,其他電子業,TW
2476,鉅祥,電子零組件業,TW
2477,美隆電,其他電子業,TW
2478,大毅,電子零組件業,TW
2480,敦陽科,資訊服務業,TW
2481,強茂,半導體業,TW
2482,連宇,其他電子業,TW
2483,百容,電子零組件業,TW
2484,希華,電子零組件業,TW
2485,兆赫,通信網路業,TW
2486,一詮,光電業,TW
2488,漢平,其他電子業,TW
2489,瑞軒,光電業,TW
2491,吉祥全,光電業,TW
2492,華新科,電子零組件業,TW
2493,揚博,電子零組件業,TW
2495,普安,電腦及週邊設備業,TW
2496,卓越,其他業,TW
2497,怡利電,汽車工業,TW
2498,宏達電,通信網路業,TW
2501,國建,建材營造業,TW
2504,國產,建材營造業,TW
2505,國揚,建材營造業,TW
2506,太設,建材營造業,TW
2509,全坤建,建材營造業,TW
2511,太子,建材營造業,TW
2514,龍邦,其他業,TW
2515,中工,建材營造業,TW
2516,新建,建材營造業,TW
2520,冠德,建材營造業,TW
2524,京城,建材營造業,TW
2527,宏璟,建材營造業,TW
2528,皇普,建材營造業,TW
2530,華建,建材營造業,TW
2534,宏盛,建材營造業,TW
2535,達欣工,建材營造業,TW
2536,宏普,建材營造業,TW
2537,聯上發,建材營造業,TW
2538,基泰,建材營造業,TW
2539,櫻花建,建材營造業,TW
2540,愛山林,建材營造業,TW
2542,興富發,建材營造業,TW
2543,皇昌,建材營造業,TW
2545,皇翔,建材營造業,TW
2546,根基,建材營造業,TW
2547,日勝生,建材營造業,TW
2548,華固,建材營造業,TW
2597,潤弘,建材營造業,TW
2601,益航,貿易百貨業,TW
2603,長榮,航運業,TW
2605,新興,航運業,TW
2606,裕民,航運業,TW
2607,榮運,航運業,TW
2608,嘉里大榮,航運業,TW
2609,陽明,航運業,TW
2610,華航,航運業,TW
2611,志信,航運業,TW
2612,中航,航運業,TW
2613,中櫃,航運業,TW
2614,東森,其他業,TW
2615,萬海,航運業,TW
2616,山隆,油電燃氣業,TW
2617,台航,航運業,TW
2618,長榮航,航運業,TW
2630,亞航,航運業,TW
2633,台灣高鐵,航運業,TW
2634,漢翔,航運業,TW
2636,台驊控股,航運業,TW
2637,慧洋-KY,航運業,TW
2642,宅配通,航運業,TW
2645,長榮航太,航運業,TW
2646,星宇航空,航運業,TW
2701,萬企,觀光餐旅,TW
2702,華園,觀光餐旅,TW
2704,國賓,觀光餐旅,TW
2705,六福,觀光餐旅,TW
2706,第一店,觀光餐旅,TW
2707,晶華,觀光餐旅,TW
2712,遠雄來,觀光餐旅,TW
2722,夏都,觀光餐旅,TW
2723,美食-KY,觀光餐旅,TW
2727,王品,觀光餐旅,TW
2731,雄獅,觀光餐旅,TW
2739,寒舍,觀光餐旅,TW
2748,雲品,觀光餐旅,TW
2753,八方雲集,觀光餐旅,TW
2762,世界健身-KY,運動休閒,TW
2801,彰銀,金融保險業,TW
2812,台中銀,金融保險業,TW
2816,旺旺保,金融保險業,TW
2820,華票,金融保險業,TW
2832,台產,金融保險業,TW
2834,臺企銀,金融保險業,TW
2836,高雄銀,金融保險業,TW
2838,聯邦銀,金融保險業,TW
2845,遠東銀,金融保險業,TW
2849,安泰銀,金融保險業,TW
2850,新產,金融保險業,TW
2851,中再保,金融保險業,TW
2852,第一保,金融保險業,TW
2855,統一證,金融保險業,TW
2867,三商壽,金融保險業,TW
2880,華南金,金融保險業,TW
2881,富邦金,金融保險業,TW
2882,國泰金,金融保險業,TW
2883,凱基金,金融保險業,TW
2884,玉山金,金融保險業,TW
2885,元大金,金融保險業,TW
2886,兆豐金,金融保險業,TW
2887,台新新光金,金融保險業,TW
2889,國票金,金融保險業,TW
2890,永豐金,金融保險業,TW
2891,中信金,金融保險業,TW
2892,第一金,金融保險業,TW
2897,王道銀行,金融保險業,TW
2901,欣欣,貿易百貨業,TW
2903,遠百,貿易百貨業,TW
2904,匯僑,其他業,TW
2905,三商,貿易百貨業,TW
2906,高林,貿易百貨業,TW
2908,特力,貿易百貨業,TW
2910,統領,貿易百貨業,TW
2911,麗嬰房,貿易百貨業,TW
2912,統一超,貿易百貨業,TW
2913,農林,貿易百貨業,TW
2915,潤泰全,貿易百貨業,TW
2923,鼎固-KY,建材營造業,TW
2929,淘帝-KY,貿易百貨業,TW
2939,永邑-KY,貿易百貨業,TW
2945,三商家購,貿易百貨業,TW
3002,歐格,電腦及週邊設備業,TW
3003,健和興,電子零組件業,TW
3004,豐達科,鋼鐵工業,TW
3005,神基,電腦及週邊設備業,TW
3006,晶豪科,半導體業,TW
3008,大立光,光電業,TW
3010,華立,電子通路業,TW
3011,今皓,電子零組件業,TW
3013,晟銘電,電腦及週邊設備業,TW
3014,聯陽,半導體業,TW
3015,全漢,電子零組件業,TW
3016,嘉晶,半導體業,TW
3017,奇鋐,電腦及週邊設備業,TW
3018,隆銘綠能,其他電子業,TW
3019,亞光,光電業,TW
3021,鴻名,電子零組件業,TW
3022,威強電,電腦及週邊設備業,TW
3023,信邦,電子零組件業,TW
3024,憶聲,光電業,TW
3025,星通,通信網路業,TW
3026,禾伸堂,電子零組件業,TW
3027,盛達,通信網路業,TW
3028,增你強,電子通路業,TW
3029,零壹,資訊服務業,TW
3030,德律,其他電子業,TW
3031,佰鴻,光電業,TW
3032,偉訓,電子零組件業,TW
3033,威健,電子通路業,TW
3034,聯詠,半導體業,TW
3035,智原,半導體業,TW
3036,文曄,電子通路業,TW
3037,欣興,電子零組件業,TW
3038,全台,光電業,TW
3040,遠見,其他業,TW
3041,揚智,半導體業,TW
3042,晶技,電子零組件業,TW
3043,科風,其他電子業,TW
3044,健鼎,電子零組件業,TW
3045,台灣大,通信網路業,TW
3046,建��,電腦及週邊設備業,TW
3047,訊舟,通信網路業,TW
3048,益登,電子通路業,TW
3049,精金,光電業,TW
3050,鈺德,光電業,TW
3051,力特,光電業,TW
3052,夆典,建材營造業,TW
3054,立萬利,食品工業,TW
3055,蔚華科,電子通路業,TW
3056,富華新,建材營造業,TW
3057,喬鼎,電腦及週邊設備業,TW
3058,立德,電子零組件業,TW
3059,華晶科,光電業,TW
3060,銘異,電腦及週邊設備業,TW
3062,建漢,通信網路業,TW
3090,日電貿,電子零組件業,TW
3092,鴻碩,電子零組件業,TW
3094,聯傑,半導體業,TW
3130,一零四,數位雲端,TW
3135,凌航,半導體業,TW
3138,耀登,通信網路業,TW
3149,正達,光電業,TW
3164,景岳,生技醫療業,TW
3167,大量,電機機械,TW
3168,眾福科,光電業,TW
3189,景碩,半導體業,TW
3209,全科,電子通路業,TW
3229,晟鈦,電子零組件業,TW
3231,緯創,電腦及週邊設備業,TW
3257,虹冠電,半導體業,TW
3266,昇陽,建材營造業,TW
3296,勝德,電子零組件業,TW
3305,昇貿,其他電子業,TW
3308,聯德,電子零組件業,TW
3311,閎暉,通信網路業,TW
3312,弘憶股,電子通路業,TW
3321,同泰,電子零組件業,TW
3338,泰碩,電子零組件業,TW
3346,麗清,汽車工業,TW
3356,奇偶,光電業,TW
3376,新日興,電子零組件業,TW
3380,明泰,通信網路業,TW
3406,玉晶光,光電業,TW
3413,京鼎,半導體業,TW
3416,融程電,電腦及週邊設備業,TW
3419,譁裕,通信網路業,TW
3432,台端,電子零組件業,TW
3437,榮創,光電業,TW
3443,創意,半導體業,TW
3447,展達,通信網路業,TW
3450,聯鈞,半導體業,TW
3454,晶睿,光電業,TW
3481,群創,光電業,TW
3494,誠研,電腦及週邊設備業,TW
3501,維熹,電子零組件業,TW
3504,揚明光,光電業,TW
3515,華擎,電腦及週邊設備業,TW
3518,柏騰,其他電子業,TW
3528,安馳,電子通路業,TW
3530,晶相光,半導體業,TW
3532,台勝科,半導體業,TW
3533,嘉澤,電子零組件業,TW
3535,晶彩科,光電業,TW
3543,州巧,光電業,TW
3545,敦泰,半導體業,TW
3550,聯穎,電子零組件業,TW
3557,嘉威,居家生活,TW
3563,牧德,光電業,TW
3576,聯合再生,光電業,TW
3583,辛耘,半導體業,TW
3588,通嘉,半導體業,TW
3591,艾笛森,光電業,TW
3592,瑞鼎,半導體業,TW
3593,力銘,電子零組件業,TW
3596,智易,通信網路業,TW
3605,宏致,電子零組件業,TW
3607,谷崧,電子零組件業,TW
3617,碩天,其他電子業,TW
3622,洋華,光電業,TW
3645,達邁,電子零組件業,TW
3652,精聯,電腦及週邊設備業,TW
3653,健策,電子零組件業,TW
3661,世芯-KY,半導體業,TW
3665,貿聯-KY,其他電子業,TW
3669,圓展,通信網路業,TW
3673,TPK-KY,光電業,TW
3679,新至陞,電子零組件業,TW
3686,達能,半導體業,TW
3694,海華,通信網路業,TW
3701,大眾控,電腦及週邊設備業,TW
3702,大聯大,電子通路業,TW
3703,欣陸,建材營造業,TW
3704,合勤控,通信網路業,TW
3705,永信,生技醫療業,TW
3706,神達,電腦及週邊設備業,TW
3708,上緯投控,綠能環保,TW
3711,日月光投控,半導體業,TW
3712,永崴投控,電腦及週邊設備業,TW
3714,富采,光電業,TW
3715,定穎投控,電子零組件業,TW
3716,中化控股,生技醫療業,TW
3717,聯嘉投控,汽車工業,TW
4104,佳醫,生技醫療業,TW
4106,雃博,生技醫療業,TW
4108,懷特,生技醫療業,TW
4119,旭富,生技醫療業,TW
4133,亞諾法,生技醫療業,TW
4137,麗豐-KY,生技醫療業,TW
4142,國光生,生技醫療業,TW
4148,全宇生技-KY,生技醫療業,TW
4155,訊映,生技醫療業,TW
4164,承業醫,生技醫療業,TW
4190,佐登-KY,生技醫療業,TW
4306,炎洲,塑膠工業,TW
4414,如興,紡織纖維,TW
4426,利勤,紡織纖維,TW
4438,廣越,紡織纖維,TW
4439,冠星-KY,紡織纖維,TW
4440,宜新實業,紡織纖維,TW
4441,振大環球,紡織纖維,TW
4526,東台,電機機械,TW
4532,瑞智,電機機械,TW
4536,拓凱,運動休閒,TW
4540,全球傳動,電機機械,TW
4545,銘鈺,電子零組件業,TW
4551,智伸科,汽車工業,TW
4552,力達-KY,電機機械,TW
4555,氣立,電機機械,TW
4557,永新-KY,汽車工業,TW
4560,強信-KY,電機機械,TW
4562,穎漢,電機機械,TW
4564,元翎,電機機械,TW
4566,時碩工業,電機機械,TW
4569,六方科-KY,汽車工業,TW
4571,鈞興-KY,電機機械,TW
4572,駐龍,電機機械,TW
4576,大銀微系統,電機機械,TW
4581,光隆精密-KY,汽車工業,TW
4583,台灣精銳,電機機械,TW
4585,達明,其他電子業,TW
4588,玖鼎電力,其他電子業,TW
4720,德淵,化學工業,TW
4722,國精化,化學工業,TW
4736,泰博,生技醫療業,TW
4737,華廣,生技醫療業,TW
4739,康普,化學工業,TW
4746,台耀,生技醫療業,TW
4755,三福化,化學工業,TW
4763,材料*-KY,化學工業,TW
4764,雙鍵,化學工業,TW
4766,南寶,化學工業,TW
4770,上品,化學工業,TW
4771,望隼,生技醫療業,TW
4807,日成-KY,貿易百貨業,TW
4904,遠傳,通信網路業,TW
4906,正文,通信網路業,TW
4912,聯德控股-KY,電子零組件業,TW
4915,致伸,電子零組件業,TW
4916,事欣科,電腦及週邊設備業,TW
4919,新唐,半導體業,TW
4927,泰鼎-KY,電子零組件業,TW
4930,燦星網,電器電纜,TW
4934,太極,光電業,TW
4935,茂林-KY,光電業,TW
4938,和碩,電腦及週邊設備業,TW
4942,嘉彰,光電業,TW
4943,康控-KY,電子零組件業,TW
4949,有成精密,光電業,TW
4952,凌通,半導體業,TW
4956,光鋐,光電業,TW
4958,臻鼎-KY,電子零組件業,TW
4960,誠美材,光電業,TW
4961,天鈺,半導體業,TW
4967,十銓,半導體業,TW
4968,立積,半導體業,TW
4976,佳凌,光電業,TW
4977,眾達-KY,通信網路業,TW
4989,榮科,電子零組件業,TW
4994,傳奇,資訊服務業,TW
4999,鑫禾,電子零組件業,TW
5007,三星,鋼鐵工業,TW
5203,訊連,資訊服務業,TW
5215,科嘉-KY,電腦及週邊設備業,TW
5222,全訊,半導體業,TW
5225,東科-KY,其他電子業,TW
5234,達興材料,光電業,TW
5243,乙盛-KY,光電業,TW
5244,弘凱,光電業,TW
5258,虹堡,電腦及週邊設備業,TW
5269,祥碩,半導體業,TW
5283,禾聯碩,電器電纜,TW
5284,jpp-KY,其他業,TW
5285,界霖,半導體業,TW
5288,豐祥-KY,電機機械,TW
5292,華懋,綠能環保,TW
5306,桂盟,運動休閒,TW
5388,中磊,通信網路業,TW
5434,崇越,電子通路業,TW
5469,瀚宇博,電子零組件業,TW
5471,松翰,半導體業,TW
5484,慧友,光電業,TW
5515,建國,建材營造業,TW
5519,隆大,建材營造業,TW
5521,工信,建材營造業,TW
5522,遠雄,建材營造業,TW
5525,順天,建材營造業,TW
5531,鄉林,建材營造業,TW
5533,皇鼎,建材營造業,TW
5534,長虹,建材營造業,TW
5538,東明-KY,鋼鐵工業,TW
5546,永固-KY,建材營造業,TW
5607,遠雄港,航運業,TW
5608,四維航,航運業,TW
5706,鳳凰,觀光餐旅,TW
5871,中租-KY,其他業,TW
5876,上海商銀,金融保險業,TW
5880,合庫金,金融保險業,TW
5906,台南-KY,貿易百貨業,TW
5907,大洋-KY,貿易百貨業,TW
6005,群益證,金融保險業,TW
6024,群益期,金融保險業,TW
6108,競國,電子零組件業,TW
6112,邁達特,資訊服務業,TW
6115,鎰勝,電子零組件業,TW
6116,彩晶,光電業,TW
6117,迎廣,電腦及週邊設備業,TW
6120,達運,光電業,TW
6128,上福,電腦及週邊設備業,TW
6133,金橋,電子零組件業,TW
6136,富爾特,通信網路業,TW
6139,亞翔,其他電子業,TW
6141,柏承,電子零組件業,TW
6142,友勁,通信網路業,TW
6152,百一,通信網路業,TW
6153,嘉聯益,電子零組件業,TW
6155,鈞寶,電子零組件業,TW
6164,華興,光電業,TW
6165,浪凡,數位雲端,TW
6166,凌華,電腦及週邊設備業,TW
6168,宏齊,光電業,TW
6176,瑞儀,光電業,TW
6177,達麗,建材營造業,TW
6183,關貿,資訊服務業,TW
6184,大豐電,其他業,TW
6189,豐藝,電子通路業,TW
6191,精成科,電子零組件業,TW
6192,巨路,其他電子業,TW
6196,帆宣,其他電子業,TW
6197,佳必琪,電子零組件業,TW
6201,亞弘電,其他電子業,TW
6202,盛群,半導體業,TW
6205,詮欣,電子零組件業,TW
6206,飛捷,電腦及週邊設備業,TW
6209,今國光,光電業,TW
6213,聯茂,電子零組件業,TW
6214,精誠,資訊服務業,TW
6215,和椿,其他電子業,TW
6216,居易,通信網路業,TW
6224,聚鼎,電子零組件業,TW
6225,天瀚,光電業,TW
6226,光鼎,光電業,TW
6230,尼得科超眾,電腦及週邊設備業,TW
6235,華孚,電腦及週邊設備業,TW
6239,力成,半導體業,TW
6243,迅杰,半導體業,TW
6257,矽格,半導體業,TW
6269,台郡,電子零組件業,TW
6271,同欣電,半導體業,TW
6277,宏正,電腦及週邊設備業,TW
6278,台表科,光電業,TW
6281,全國電,電子通路業,TW
6282,康舒,電子零組件業,TW
6283,淳安,其他電子業,TW
6285,啟��,通信網路業,TW
6405,悅城,光電業,TW
6409,旭隼,其他電子業,TW
6412,群電,電子零組件業,TW
6414,樺漢,電腦及週邊設備業,TW
6415,矽力*-KY,半導體業,TW
6416,瑞祺電通,通信網路業,TW
6426,統新,通信網路業,TW
6431,光麗-KY,生技醫療業,TW
